,Customer_ID,custcare_Mean,new_cell,area,creditcd
9000,1090085,0.666666667,U,ATLANTIC SOUTH AREA,Y
9001,1090090,5.666666667,U,NORTH FLORIDA AREA,N
9002,1090109,0.0,Y,NEW ENGLAND AREA,N
9003,1090121,2.0,Y,NEW ENGLAND AREA,N
9004,1090134,21.33333333,Y,SOUTH FLORIDA AREA,Y
9005,1090135,4.666666667,U,MIDWEST AREA,Y
9006,1090150,0.0,U,HOUSTON AREA,Y
9007,1090153,0.0,U,SOUTH FLORIDA AREA,Y
9008,1090155,1.666666667,U,HOUSTON AREA,Y
9009,1090159,11.0,U,LOS ANGELES AREA,N
9010,1090163,0.0,U,DC-MARYLAND-VIRGINIA AREA,N
9011,1090164,2.333333333,U,NORTH FLORIDA AREA,N
9012,1090168,0.0,U,LOS ANGELES AREA,Y
9013,1090178,0.666666667,Y,OHIO AREA,Y
9014,1090193,10.0,Y,NEW YORK CITY AREA,Y
9015,1090200,7.666666667,Y,HOUSTON AREA,Y
9016,1090217,0.0,U,CHICAGO AREA,Y
9017,1090220,0.0,U,NORTH FLORIDA AREA,Y
9018,1090223,0.0,Y,ATLANTIC SOUTH AREA,Y
9019,1090224,0.0,Y,PHILADELPHIA AREA,Y
9020,1090228,0.0,U,OHIO AREA,Y
9021,1090229,0.0,U,NEW YORK CITY AREA,N
9022,1090242,1.0,U,OHIO AREA,Y
9023,1090261,0.0,Y,OHIO AREA,Y
9024,1090270,5.0,U,DALLAS AREA,Y
9025,1090273,3.0,U,LOS ANGELES AREA,N
9026,1090279,2.666666667,U,SOUTHWEST AREA,Y
9027,1090284,0.0,Y,ATLANTIC SOUTH AREA,N
9028,1090309,0.0,U,NEW ENGLAND AREA,Y
9029,1090322,0.333333333,U,PHILADELPHIA AREA,Y
9030,1090340,1.666666667,N,DC-MARYLAND-VIRGINIA AREA,N
9031,1090351,0.0,U,SOUTHWEST AREA,
9032,1090366,1.666666667,U,DALLAS AREA,Y
9033,1090388,9.666666667,U,SOUTHWEST AREA,Y
9034,1090389,0.0,U,CALIFORNIA NORTH AREA,N
9035,1090419,20.0,U,ATLANTIC SOUTH AREA,Y
9036,1090426,0.0,U,PHILADELPHIA AREA,Y
9037,1090433,2.0,U,LOS ANGELES AREA,Y
9038,1090434,0.0,U,GREAT LAKES AREA,Y
9039,1090438,0.0,U,NEW YORK CITY AREA,N
9040,1090444,5.666666667,Y,TENNESSEE AREA,Y
9041,1090445,0.0,U,GREAT LAKES AREA,Y
9042,1090457,17.33333333,U,ATLANTIC SOUTH AREA,N
9043,1090458,4.666666667,U,GREAT LAKES AREA,Y
9044,1090476,5.0,U,TENNESSEE AREA,N
9045,1090487,0.0,U,NEW YORK CITY AREA,Y
9046,1090490,23.0,U,SOUTHWEST AREA,N
9047,1090500,1.0,U,SOUTH FLORIDA AREA,N
9048,1090506,0.0,Y,SOUTHWEST AREA,N
9049,1090508,0.0,U,OHIO AREA,Y
9050,1090511,10.66666667,U,ATLANTIC SOUTH AREA,Y
9051,1090512,6.666666667,N,CHICAGO AREA,N
9052,1090513,0.0,U,CHICAGO AREA,Y
9053,1090517,0.0,U,HOUSTON AREA,Y
9054,1090520,0.333333333,U,HOUSTON AREA,Y
9055,1090530,0.666666667,U,NEW ENGLAND AREA,Y
9056,1090537,0.0,U,DC-MARYLAND-VIRGINIA AREA,Y
9057,1090541,0.0,U,ATLANTIC SOUTH AREA,Y
9058,1090550,0.0,U,GREAT LAKES AREA,N
9059,1090559,1.666666667,U,DC-MARYLAND-VIRGINIA AREA,Y
9060,1090573,0.0,Y,MIDWEST AREA,N
9061,1090588,2.666666667,U,DC-MARYLAND-VIRGINIA AREA,N
9062,1090618,22.66666667,U,NEW YORK CITY AREA,N
9063,1090626,0.0,U,NEW YORK CITY AREA,Y
9064,1090633,0.0,U,CHICAGO AREA,N
9065,1090659,0.666666667,U,NORTH FLORIDA AREA,N
9066,1090662,0.0,U,CHICAGO AREA,Y
9067,1090666,6.666666667,U,LOS ANGELES AREA,N
9068,1090670,0.333333333,U,NORTHWEST-ROCKY MOUNTAIN AREA,N
9069,1090677,0.0,U,NEW YORK CITY AREA,Y
9070,1090692,0.666666667,U,CALIFORNIA NORTH AREA,N
9071,1090702,0.0,U,DALLAS AREA,N
9072,1090722,0.666666667,N,NORTHWEST-ROCKY MOUNTAIN AREA,Y
9073,1090734,0.0,U,CENTRAL-SOUTH TEXAS AREA,Y
9074,1090742,7.333333333,U,NORTH FLORIDA AREA,Y
9075,1090787,0.0,U,NORTHWEST-ROCKY MOUNTAIN AREA,N
9076,1090789,23.0,U,CALIFORNIA NORTH AREA,N
9077,1090795,2.666666667,U,LOS ANGELES AREA,N
9078,1090799,0.0,U,ATLANTIC SOUTH AREA,Y
9079,1090811,2.0,Y,ATLANTIC SOUTH AREA,N
